title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Java Development,SunbaseData,Work From Home,Immediately,6,30000,No,Onsite,Urban,Research,"Data Analysis, Java, Machine Learning",03-10-25,MBA
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6,1500,Yes,Hybrid,Rural,Design,"Data Analysis, Project Management, C++",02-10-25,BTech
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Design,"Machine Learning, Python, Digital Marketing",23-11-25,MBA
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Design,"Project Management, Digital Marketing, Data Analysis, Java",09-11-25,PhD
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6,12000,Yes,Hybrid,Urban,Design,"HTML/CSS, Data Analysis, Machine Learning, Project Management, Java",21-10-25,MCA
English Curriculum Writing,Team Everest,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Research,"Excel, Digital Marketing, Data Analysis, Java, Communication",16-10-25,BTech
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6,5000,No,Remote,Urban,Software Development,"Python, Data Analysis, C++, Project Management, Digital Marketing",04-10-25,MCA
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6,7000,No,Remote,Rural,Marketing,"SQL, Python, Communication, Machine Learning",01-12-25,MBA
Graphic Design,Expedify,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Marketing,"Data Analysis, Communication, Excel",14-09-25,BSc
Campus Ambassador,Internshala,Work From Home,Not specified,6,2000,Yes,Onsite,Urban,Marketing,"HTML/CSS, SQL, Project Management",30-09-25,PhD
Customer Support Management,ClearTax,Bangalore,Immediately,6,30000,No,Onsite,Urban,Marketing,"SQL, Java, C++, Machine Learning, Communication",10-11-25,MCA
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Hybrid,Rural,Design,"Java, Machine Learning, Project Management, Data Analysis",25-10-25,MCA
Office Operations,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,No,Onsite,Rural,Finance,"Python, C++, Communication",24-09-25,MCA
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,HR,"Digital Marketing, Data Analysis, Java, Machine Learning, Communication",16-10-25,MCA
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Design,"Communication, Project Management, Excel, SQL",11-10-25,BSc
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Marketing,"HTML/CSS, SQL, Project Management",29-09-25,PhD
Customer Success,ClearTax,Bangalore,Immediately,6,20000,Yes,Remote,Urban,Data Scientist,"C++, Communication, Java, Machine Learning",22-11-25,BTech
