title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Java Development,SunbaseData,Work From Home,Immediately,6,30000,No,Onsite,Urban,Software Development,"Java, OOP, Data Structures, Spring, Hibernate",03-10-25,BTech
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6,1500,Yes,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",02-10-25,BCom
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",23-11-25,BA
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",09-11-25,BBA
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6,12000,Yes,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects, Photography, Lightroom",21-10-25,BA
English Curriculum Writing,Team Everest,Work From Home,Immediately,6,Unpaid,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Teaching, Lesson Planning",16-10-25,MTech
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6,5000,No,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",04-10-25,MA
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6,7000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Communication, MS Excel",01-12-25,MCom
Graphic Design,Expedify,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",14-09-25,MCom
Campus Ambassador,Internshala,Work From Home,Not specified,6,2000,Yes,Onsite,Urban,Marketing,"Marketing, Communication, Networking, Leadership",30-09-25,BBA
Customer Support Management,ClearTax,Bangalore,Immediately,6,30000,No,Onsite,Urban,Marketing,"BPO, Customer Support, Communication, Call Handling",10-11-25,BBA
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",25-10-25,MSc
Office Operations,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",24-09-25,MBA
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",16-10-25,MBA
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",11-10-25,MTech
